
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
    139.01115 |       0.05025 |       0.05025 |       0.00000 |      17.14001 |      12.14001 |       0.00001 |      25.78772 |     -80.27554 |       3.66640 |       0.07419 |       1.00000 |       3.59222 |      25.50000 |     -80.00000 | 
    139.62209 |       0.15075 |       0.15075 |       0.00000 |      17.14004 |      12.14004 |       0.00004 |      25.78772 |     -80.27554 |       3.83922 |       0.24700 |       1.00000 |       3.59469 |      25.50000 |     -80.00000 | 
    139.76410 |       0.25126 |       0.25126 |       0.00000 |      17.14007 |      12.14007 |       0.00007 |      25.78772 |     -80.27554 |       3.90116 |       0.30919 |       1.00000 |       3.60412 |      25.50000 |     -80.00000 | 
    139.83760 |       0.30151 |       0.30151 |       0.00000 |      17.14008 |      12.14008 |       0.00008 |      25.78772 |     -80.27554 |       3.91442 |       0.32254 |       1.00000 |       3.61153 |      25.50000 |     -80.00000 | 
    139.91382 |       0.35176 |       0.35176 |       0.00000 |      17.14010 |      12.14010 |       0.00010 |      25.78772 |     -80.27554 |       3.92071 |       0.32886 |       1.00000 |       3.62043 |      25.50000 |     -80.00000 | 
    140.06200 |       0.45226 |       0.45226 |       0.00000 |      17.14013 |      12.14013 |       0.00013 |      25.78772 |     -80.27554 |       3.92097 |       0.32917 |       1.00000 |       3.64157 |      25.50000 |     -80.00000 | 
    140.20119 |       0.55276 |       0.55276 |       0.00000 |      17.14015 |      12.14015 |       0.00015 |      25.78772 |     -80.27554 |       3.91596 |       0.32408 |       1.00000 |       3.66526 |      25.50000 |     -80.00000 | 
    140.34618 |       0.65327 |       0.65327 |       0.00000 |      17.14018 |      12.14018 |       0.00018 |      25.78772 |     -80.27554 |       3.91302 |       0.32109 |       1.00000 |       3.68967 |      25.50000 |     -80.00000 | 
    140.48381 |       0.75377 |       0.75377 |       0.00000 |      17.14021 |      12.14021 |       0.00021 |      25.78772 |     -80.27554 |       3.90953 |       0.31750 |       1.00000 |       3.71360 |      25.50000 |     -80.00000 | 
    140.62256 |       0.85427 |       0.85427 |       0.00000 |      17.14024 |      12.14024 |       0.00024 |      25.78772 |     -80.27554 |       3.90892 |       0.31681 |       1.00000 |       3.73627 |      25.50000 |     -80.00000 | 
    140.76169 |       0.95477 |       0.95477 |       0.00000 |      17.14026 |      12.14027 |       0.00027 |      25.78772 |     -80.27554 |       3.91083 |       0.31863 |       1.00000 |       3.75727 |      25.50000 |     -80.00000 | 
    140.89874 |       1.05528 |       1.05528 |       0.00000 |      17.14029 |      12.14029 |       0.00029 |      25.78772 |     -80.27554 |       3.91383 |       0.32162 |       1.00000 |       3.77651 |      25.50000 |     -80.00000 | 
    141.03894 |       1.15578 |       1.15578 |       0.00000 |      17.14032 |      12.14032 |       0.00032 |      25.78772 |     -80.27554 |       3.91486 |       0.32267 |       1.00000 |       3.79399 |      25.50000 |     -80.00000 | 
    141.17986 |       1.25628 |       1.25628 |       0.00000 |      17.14035 |      12.14035 |       0.00035 |      25.78772 |     -80.27554 |       3.91515 |       0.32304 |       1.00000 |       3.80976 |      25.50000 |     -80.00000 | 
    141.31888 |       1.35678 |       1.35678 |       0.00000 |      17.14038 |      12.14038 |       0.00038 |      25.78772 |     -80.27554 |       3.91539 |       0.32326 |       1.00000 |       3.82386 |      25.50000 |     -80.00000 | 
    141.46021 |       1.45729 |       1.45729 |       0.00000 |      17.14041 |      12.14040 |       0.00040 |      25.78772 |     -80.27554 |       3.91564 |       0.32353 |       1.00000 |       3.83637 |      25.50000 |     -80.00000 | 
    141.59721 |       1.55779 |       1.55779 |       0.00000 |      17.14043 |      12.14043 |       0.00043 |      25.78772 |     -80.27554 |       3.91588 |       0.32378 |       1.00000 |       3.84741 |      25.50000 |     -80.00000 | 
    141.73575 |       1.65829 |       1.65829 |       0.00000 |      17.14046 |      12.14046 |       0.00046 |      25.78772 |     -80.27554 |       3.91607 |       0.32396 |       1.00000 |       3.85709 |      25.50000 |     -80.00000 | 
    141.87381 |       1.75879 |       1.75879 |       0.00000 |      17.14049 |      12.14049 |       0.00049 |      25.78772 |     -80.27554 |       3.91620 |       0.32409 |       1.00000 |       3.86555 |      25.50000 |     -80.00000 | 
    142.01366 |       1.85930 |       1.85930 |       0.00000 |      17.14052 |      12.14052 |       0.00052 |      25.78772 |     -80.27554 |       3.91628 |       0.32417 |       1.00000 |       3.87291 |      25.50000 |     -80.00000 | 
    142.15630 |       1.95980 |       1.95980 |       0.00000 |      17.14054 |      12.14054 |       0.00054 |      25.78772 |     -80.27554 |       3.91631 |       0.32419 |       1.00000 |       3.87928 |      25.50000 |     -80.00000 | 
    142.29813 |       2.06030 |       2.06030 |       0.00000 |      17.14057 |      12.14057 |       0.00057 |      25.78772 |     -80.27554 |       3.91631 |       0.32419 |       1.00000 |       3.88479 |      25.50000 |     -80.00000 | 
    142.43945 |       2.16080 |       2.16080 |       0.00000 |      17.14060 |      12.14060 |       0.00060 |      25.78772 |     -80.27554 |       3.91630 |       0.32417 |       1.00000 |       3.88953 |      25.50000 |     -80.00000 | 
    142.60303 |       2.26131 |       2.26131 |       0.00000 |      17.14063 |      12.14063 |       0.00063 |      25.78772 |     -80.27554 |       3.91627 |       0.32415 |       1.00000 |       3.89360 |      25.50000 |     -80.00000 | 
    142.74734 |       2.36181 |       2.36181 |       0.00000 |      17.14066 |      12.14066 |       0.00066 |      25.78772 |     -80.27554 |       3.91634 |       0.32421 |       1.00000 |       3.89708 |      25.50000 |     -80.00000 | 
    142.88846 |       2.46231 |       2.46231 |       0.00000 |      17.14068 |      12.14068 |       0.00068 |      25.78772 |     -80.27554 |       3.91631 |       0.32418 |       1.00000 |       3.90005 |      25.50000 |     -80.00000 | 
    143.03040 |       2.56281 |       2.56281 |       0.00000 |      17.14071 |      12.14071 |       0.00071 |      25.78772 |     -80.27554 |       3.91626 |       0.32413 |       1.00000 |       3.90258 |      25.50000 |     -80.00000 | 
    143.17079 |       2.66332 |       2.66332 |       0.00000 |      17.14074 |      12.14074 |       0.00074 |      25.78772 |     -80.27554 |       3.91623 |       0.32410 |       1.00000 |       3.90474 |      25.50000 |     -80.00000 | 
    143.31079 |       2.76382 |       2.76382 |       0.00000 |      17.14077 |      12.14077 |       0.00077 |      25.78772 |     -80.27554 |       3.91622 |       0.32409 |       1.00000 |       3.90656 |      25.50000 |     -80.00000 | 
    143.45172 |       2.86432 |       2.86432 |       0.00000 |      17.14080 |      12.14080 |       0.00080 |      25.78772 |     -80.27554 |       3.91622 |       0.32409 |       1.00000 |       3.90810 |      25.50000 |     -80.00000 | 
    143.59183 |       2.96482 |       2.96482 |       0.00000 |      17.14082 |      12.14082 |       0.00082 |      25.78772 |     -80.27554 |       3.91621 |       0.32408 |       1.00000 |       3.90941 |      25.50000 |     -80.00000 | 
    143.65987 |       3.01508 |       3.01508 |       0.00000 |      17.14084 |      12.14084 |       0.00084 |      25.78772 |     -80.27554 |       3.91621 |       0.32408 |       1.00000 |       3.90998 |      25.50000 |     -80.00000 | 
    143.80103 |       3.11558 |       3.11558 |       0.00000 |      17.14087 |      12.14087 |       0.00087 |      25.78772 |     -80.27554 |       3.91621 |       0.32407 |       1.00000 |       3.91099 |      25.50000 |     -80.00000 | 
    143.87048 |       3.16583 |       3.16583 |       0.00000 |      17.14088 |      12.14088 |       0.00088 |      25.78772 |     -80.27554 |       3.91621 |       0.32407 |       1.00000 |       3.91143 |      25.50000 |     -80.00000 | 
    144.56694 |       3.26633 |       3.26633 |       0.00000 |      17.14091 |      12.14091 |       0.00091 |      25.78772 |     -80.27554 |       3.91620 |       0.32407 |       1.00000 |       3.91221 |      25.50000 |     -80.00000 | 
    144.70679 |       3.36683 |       3.36683 |       0.00000 |      17.14094 |      12.14094 |       0.00094 |      25.78772 |     -80.27554 |       3.91621 |       0.32407 |       1.00000 |       3.91287 |      25.50000 |     -80.00000 | 
    144.84349 |       3.46734 |       3.46734 |       0.00000 |      17.14096 |      12.14096 |       0.00096 |      25.78772 |     -80.27554 |       3.91621 |       0.32412 |       1.00000 |       3.91342 |      25.50000 |     -80.00000 | 
    144.98096 |       3.56784 |       3.56784 |       0.00000 |      17.14099 |      12.14099 |       0.00099 |      25.78772 |     -80.27554 |       3.91621 |       0.32412 |       1.00000 |       3.91388 |      25.50000 |     -80.00000 | 
    145.04944 |       3.61809 |       3.61809 |       0.00000 |      17.14100 |      12.14101 |       0.00101 |      25.78772 |     -80.27554 |       3.91621 |       0.32412 |       1.00000 |       3.91408 |      25.50000 |     -80.00000 | 
    145.19545 |       3.71859 |       3.71859 |       0.00000 |      17.14103 |      12.14103 |       0.00103 |      25.78772 |     -80.27554 |       3.91620 |       0.32412 |       1.00000 |       3.91443 |      25.50000 |     -80.00000 | 
    145.33467 |       3.81910 |       3.81910 |       0.00000 |      17.14106 |      12.14106 |       0.00106 |      25.78772 |     -80.27554 |       3.91620 |       0.32411 |       1.00000 |       3.91473 |      25.50000 |     -80.00000 | 
    145.47398 |       3.91960 |       3.91960 |       0.00000 |      17.14109 |      12.14109 |       0.00109 |      25.78772 |     -80.27554 |       3.91620 |       0.32411 |       1.00000 |       3.91497 |      25.50000 |     -80.00000 | 
    145.61275 |       4.02010 |       4.02010 |       0.00000 |      17.14112 |      12.14112 |       0.00112 |      25.78772 |     -80.27554 |       3.91620 |       0.32411 |       1.00000 |       3.91518 |      25.50000 |     -80.00000 | 
    145.75003 |       4.12060 |       4.12060 |       0.00000 |      17.14115 |      12.14114 |       0.00114 |      25.78772 |     -80.27554 |       3.91620 |       0.32411 |       1.00000 |       3.91535 |      25.50000 |     -80.00000 | 
    145.88635 |       4.22111 |       4.22111 |       0.00000 |      17.14117 |      12.14117 |       0.00117 |      25.78772 |     -80.27554 |       3.91620 |       0.32411 |       1.00000 |       3.91549 |      25.50000 |     -80.00000 | 
    146.02602 |       4.32161 |       4.32161 |       0.00000 |      17.14120 |      12.14120 |       0.00120 |      25.78772 |     -80.27554 |       3.91620 |       0.32411 |       1.00000 |       3.91561 |      25.50000 |     -80.00000 | 
    146.16754 |       4.42211 |       4.42211 |       0.00000 |      17.14123 |      12.14123 |       0.00123 |      25.78772 |     -80.27554 |       3.91620 |       0.32410 |       1.00000 |       3.91571 |      25.50000 |     -80.00000 | 
    146.30707 |       4.52261 |       4.52261 |       0.00000 |      17.14126 |      12.14126 |       0.00126 |      25.78772 |     -80.27554 |       3.91620 |       0.32410 |       1.00000 |       3.91579 |      25.50000 |     -80.00000 | 
    146.44627 |       4.62312 |       4.62312 |       0.00000 |      17.14128 |      12.14128 |       0.00128 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91586 |      25.50000 |     -80.00000 | 
    146.58612 |       4.72362 |       4.72362 |       0.00000 |      17.14131 |      12.14131 |       0.00131 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91592 |      25.50000 |     -80.00000 | 
    146.72581 |       4.82412 |       4.82412 |       0.00000 |      17.14134 |      12.14134 |       0.00134 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91597 |      25.50000 |     -80.00000 | 
    146.86566 |       4.92462 |       4.92462 |       0.00000 |      17.14137 |      12.14137 |       0.00137 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91601 |      25.50000 |     -80.00000 | 
    147.00705 |       5.02513 |       5.02513 |       0.00000 |      17.14140 |      12.14140 |       0.00140 |      25.78772 |     -80.27554 |       3.91619 |       0.32410 |       1.00000 |       3.91604 |      25.50000 |     -80.00000 | 
